metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
matched_random_mean_regret_bps,58.56843038652729,47.77840131706441,70.96808436108302,5.892291426809125,,,,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-34.00780669871496,-44.33809164695655,-24.71412583261921,5.096626406435219,,,1.0,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-32.49039094807127,-60.92550425952915,-4.9805503212395825,14.237059710232726,,,0.9922,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-90.46184404385986,-136.8800471231075,-43.27760468572505,23.64317519487794,,,1.0,5000,leave_2024_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8624673385965438,0.8054286932164171,0.9184551929272033,0.02883684969109162,,,,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.715216918637616,0.6701956873323087,0.7620195114972161,0.023144389837500338,,,,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.1472504199589277,0.10303949320843592,0.19396536819851878,0.02349796930719146,1.0,,1.0,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2063488583050033,1.1413269221307194,1.279367965065178,0.03518111183140139,,0.0086,,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,23.02070133378206,15.104583114795844,31.640965860420433,4.2688709318135825,,,,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,51.22782486981844,40.00998880217857,63.80562757198284,5.999083593524024,,,,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-28.207123536036374,-37.50471302700971,-19.74620579813423,4.562618091330736,,,1.0,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-35.38077875982546,-57.53502227960331,-11.714293081755136,11.649579497430011,,,0.996,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-74.61160895051665,-116.64278901628,-43.92441241649999,18.43378570220811,,,1.0,5000,leave_2025_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8690292872021144,0.81603590553487,0.9195652173913044,0.026906859563671597,,,,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.7152782051946865,0.6740283676788003,0.7543526332034853,0.020617098124909344,,,,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.1537510820074278,0.11275100786724242,0.19777142229447706,0.02158943037867322,1.0,,1.0,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2152961007622718,1.1552888040253269,1.280899876391503,0.0320746563249787,,0.0076,,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,22.186686835425345,14.78459860100801,30.707734653691062,4.0689976619403625,,,,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,52.0499824086278,41.613635251877206,63.9814488002559,5.807180272734732,,,,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-29.86329557320245,-39.200476861775215,-21.607845056793916,4.527814105841889,,,1.0,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-33.90699959044168,-60.454081159786334,-7.684006644595765,13.499700475659685,,,0.9906,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-85.97509779558759,-127.910943070525,-54.124369774530024,18.62179446168999,,,1.0,5000,leave_2026_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
