outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2022,RUB_UZS,budget_07,19,active,0.6842105263157895,0.5263157894736842,-0.1578947368421053,62.22563283908947,122.09130707259474,59.865674233505274
outer_2022,RUB_UZS,budget_08,34,active,0.5882352941176471,0.5588235294117647,-0.02941176470588236,94.76167025112058,98.50066532367353,3.738995072552953
outer_2022,RUB_UZS,budget_09,39,active,0.48717948717948717,0.48717948717948717,0.0,172.9139265160103,119.23636826260514,-53.67755825340515
outer_2022,RUB_UZS,budget_10,39,active,0.358974358974359,0.48717948717948717,0.1282051282051282,201.74366070313593,119.23636826260514,-82.50729244053079
outer_2022,RUB_UZS,budget_11,39,active,0.358974358974359,0.48717948717948717,0.1282051282051282,201.74366070313593,119.23636826260514,-82.50729244053079
outer_2022,RUB_UZS,budget_12,39,active,0.358974358974359,0.48717948717948717,0.1282051282051282,201.74366070313593,119.23636826260514,-82.50729244053079
outer_2022,RUB_UZS,budget_13,39,active,0.358974358974359,0.48717948717948717,0.1282051282051282,201.74366070313593,119.23636826260514,-82.50729244053079
outer_2023,RUB_AMD,budget_00,7,active,1.0,1.0,0.0,5.693157206342858,2.1784961802142857,-3.514661026128572
outer_2023,RUB_AMD,budget_01,12,active,0.9166666666666666,0.8333333333333334,-0.08333333333333326,15.314523058525,18.394890541025,3.0803674825
outer_2023,RUB_AMD,budget_02,16,active,0.875,0.75,-0.125,23.18437065125,31.608109226624997,8.423738575374998
outer_2023,RUB_AMD,budget_03,19,active,0.8947368421052632,0.8421052631578947,-0.052631578947368474,22.711783844831576,24.251615660873682,1.5398318160421063
outer_2023,RUB_AMD,budget_04,22,active,0.8181818181818182,0.8181818181818182,0.0,30.673276798931816,32.46076223605,1.7874854371181854
outer_2023,RUB_AMD,budget_05,30,active,0.7666666666666667,0.8,0.033333333333333326,30.325012404989998,29.197915443893333,-1.1270969610966652
outer_2023,RUB_AMD,budget_06,35,active,0.7714285714285715,0.8,0.02857142857142858,35.44791974997714,34.87836245023429,-0.5695572997428471
outer_2023,RUB_AMD,budget_07,42,active,0.7142857142857143,0.6904761904761905,-0.023809523809523836,66.26507397228094,55.1071715605262,-11.157902411754748
outer_2023,RUB_AMD,budget_08,46,active,0.5869565217391305,0.6739130434782609,0.08695652173913038,80.6734689102087,66.03072394458262,-14.642744965626079
outer_2023,RUB_AMD,budget_09,51,active,0.6470588235294118,0.6470588235294118,0.0,78.83448485765686,84.94545128384706,6.110966426190203
outer_2023,RUB_AMD,budget_10,51,active,0.6470588235294118,0.6470588235294118,0.0,78.83448485765686,84.94545128384706,6.110966426190203
outer_2023,RUB_AMD,budget_11,51,active,0.6470588235294118,0.6470588235294118,0.0,78.83448485765686,84.94545128384706,6.110966426190203
outer_2023,RUB_AMD,budget_12,51,active,0.6470588235294118,0.6470588235294118,0.0,78.83448485765686,84.94545128384706,6.110966426190203
outer_2023,RUB_AMD,budget_13,51,active,0.6470588235294118,0.6470588235294118,0.0,78.83448485765686,84.94545128384706,6.110966426190203
outer_2023,RUB_KGS,budget_00,6,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2023,RUB_KGS,budget_01,13,active,0.9230769230769231,0.8461538461538461,-0.07692307692307698,8.819032730438462,16.03076130415385,7.211728573715387
outer_2023,RUB_KGS,budget_02,17,active,0.8823529411764706,0.8235294117647058,-0.05882352941176472,19.601139904999997,23.767991144782354,4.166851239782357
outer_2023,RUB_KGS,budget_03,18,active,0.8333333333333334,0.8333333333333334,0.0,30.990917088716667,22.799425028972223,-8.191492059744444
outer_2023,RUB_KGS,budget_04,22,active,0.7727272727272727,0.8181818181818182,0.045454545454545525,32.91061933819091,29.022226952490907,-3.888392385700005
outer_2023,RUB_KGS,budget_05,30,active,0.8,0.8333333333333334,0.033333333333333326,27.50923359119,27.86943953416,0.3602059429700013
outer_2023,RUB_KGS,budget_06,38,active,0.7894736842105263,0.7894736842105263,0.0,26.78833122187105,32.731266131881576,5.942934910010525
outer_2023,RUB_KGS,budget_07,42,active,0.8095238095238095,0.7619047619047619,-0.04761904761904767,52.67877735082857,41.97057975634286,-10.70819759448571
outer_2023,RUB_KGS,budget_08,46,active,0.6521739130434783,0.6739130434782609,0.021739130434782594,66.35520048305871,67.35382694486957,0.9986264618108578
outer_2023,RUB_KGS,budget_09,51,active,0.6666666666666666,0.6470588235294118,-0.019607843137254832,70.15088550101764,77.21726719758038,7.066381696562743
outer_2023,RUB_KGS,budget_10,51,active,0.6666666666666666,0.6470588235294118,-0.019607843137254832,70.15088550101764,77.21726719758038,7.066381696562743
outer_2023,RUB_KGS,budget_11,51,active,0.6666666666666666,0.6470588235294118,-0.019607843137254832,70.15088550101764,77.21726719758038,7.066381696562743
outer_2023,RUB_KGS,budget_12,51,active,0.6666666666666666,0.6470588235294118,-0.019607843137254832,70.15088550101764,77.21726719758038,7.066381696562743
outer_2023,RUB_KGS,budget_13,51,active,0.6666666666666666,0.6470588235294118,-0.019607843137254832,70.15088550101764,77.21726719758038,7.066381696562743
outer_2023,RUB_KZT,budget_00,6,active,1.0,0.8333333333333334,-0.16666666666666663,2.7043933864166667,22.340856390383333,19.636463003966668
outer_2023,RUB_KZT,budget_01,11,active,1.0,0.9090909090909091,-0.09090909090909094,12.1402334048,14.6850240541,2.5447906492999994
outer_2023,RUB_KZT,budget_02,14,active,0.8571428571428571,0.9285714285714286,0.07142857142857151,42.53825920157143,14.793309069321428,-27.74495013225
outer_2023,RUB_KZT,budget_03,17,active,0.8235294117647058,0.9411764705882353,0.11764705882352944,37.01644277480588,14.244228724458821,-22.77221405034706
outer_2023,RUB_KZT,budget_04,19,active,0.8421052631578947,0.8947368421052632,0.052631578947368474,32.26595615016843,25.628906237163157,-6.637049913005271
outer_2023,RUB_KZT,budget_05,23,active,0.8260869565217391,0.8260869565217391,0.0,35.596324016778254,45.18159441481304,9.585270398034787
outer_2023,RUB_KZT,budget_06,32,active,0.6875,0.8125,0.125,51.47441343649375,39.59673253649687,-11.877680899996875
outer_2023,RUB_KZT,budget_07,43,active,0.4883720930232558,0.6511627906976745,0.16279069767441867,81.11401096634185,63.841580975676735,-17.272429990665117
outer_2023,RUB_KZT,budget_08,45,active,0.4888888888888889,0.4666666666666667,-0.0222222222222222,82.54497592743333,84.07516187980666,1.5301859523733299
outer_2023,RUB_KZT,budget_09,51,active,0.5098039215686274,0.5098039215686274,0.0,87.31938214381569,90.93568954980785,3.61630740599216
outer_2023,RUB_KZT,budget_10,51,active,0.5098039215686274,0.5098039215686274,0.0,87.31938214381569,90.93568954980785,3.61630740599216
outer_2023,RUB_KZT,budget_11,51,active,0.5098039215686274,0.5098039215686274,0.0,87.31938214381569,90.93568954980785,3.61630740599216
outer_2023,RUB_KZT,budget_12,51,active,0.5098039215686274,0.5098039215686274,0.0,87.31938214381569,90.93568954980785,3.61630740599216
outer_2023,RUB_KZT,budget_13,51,active,0.5098039215686274,0.5098039215686274,0.0,87.31938214381569,90.93568954980785,3.61630740599216
outer_2023,RUB_TJS,budget_00,7,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2023,RUB_TJS,budget_01,13,active,0.8461538461538461,0.7692307692307693,-0.07692307692307687,15.71674030706154,25.015801737092303,9.299061430030763
