variant,corridor,baseline,random_mode,universe_id,outcome_id,random_hit_rate,random_hit_rate_mcse,random_hit_rate_ci_low,random_hit_rate_ci_high,model_hit_rate,delta_hit_rate,lift,random_mean_regret_bps,random_p90_regret_bps,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
operating,RUB_KZT,product,month_update_gap,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.377,0.006230684438440818,0.2834375,0.45,0.6125,0.23550000000000004,1.6246684350132627,98.40837459404125,286.0609812052507,3,temporal_v3,4,4
operating,RUB_KZT,conditional,calendar_month_weekday,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.62525,0.002707934298181051,0.5875,0.65,0.6125,-0.012749999999999928,0.9796081567373052,73.13423325162198,216.50066624191214,3,temporal_v3,4,4
operating,RUB_KZT,conditional,calendar_month,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.583,0.006214285714285715,0.5125,0.6596875,0.6125,0.02950000000000008,1.0506003430531734,101.22795722003877,311.84153680065907,3,temporal_v3,4,4
operating,RUB_KZT,conditional,month_update_gap,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.61925,0.0047810478315267815,0.5625,0.675,0.6125,-0.006749999999999923,0.9890997174000808,83.8643919740475,258.18114258665685,3,temporal_v3,4,4
operating,RUB_TJS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6676190476190476,0.004288293024944253,0.6067460317460317,0.7301587301587301,0.6031746031746031,-0.06444444444444442,0.903471231573942,86.31967717749839,249.50423346014898,3,temporal_v3,4,4
operating,RUB_TJS,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5384126984126983,0.007707616084414285,0.4444444444444444,0.6313492063492063,0.6031746031746031,0.0647619047619048,1.1202830188679247,121.9671351473126,339.96178537130095,3,temporal_v3,4,4
operating,RUB_TJS,future_safety,month_update_gap,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5812698412698414,0.0076815544161491665,0.448015873015873,0.6666666666666666,0.6031746031746031,0.02190476190476176,1.0376843255051882,107.27611951006762,296.8374745951758,3,temporal_v3,4,4
operating,RUB_TJS,product,calendar_month_weekday,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4834920634920634,0.004331243837680106,0.42857142857142855,0.5361111111111111,0.6031746031746031,0.11968253968253972,1.247537754432042,87.96664714333787,251.32008464055693,3,temporal_v3,4,4
operating,RUB_TJS,product,calendar_month,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.35682539682539677,0.006528722326685934,0.2698412698412698,0.42857142857142855,0.6031746031746031,0.24634920634920637,1.6903914590747333,119.48227281371774,323.52840087166294,3,temporal_v3,4,4
operating,RUB_TJS,product,month_update_gap,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4196825396825396,0.006367967099670966,0.3492063492063492,0.5202380952380953,0.6031746031746031,0.18349206349206354,1.4372163388804844,100.1860446041021,287.2606225952209,3,temporal_v3,4,4
operating,RUB_TJS,conditional,calendar_month_weekday,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6288888888888889,0.002678809873128773,0.6031746031746031,0.6630952380952381,0.6031746031746031,-0.0257142857142858,0.9591115598182735,102.48509643459843,280.47887452408816,3,temporal_v3,4,4
operating,RUB_TJS,conditional,calendar_month,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.5676190476190477,0.005546246075722611,0.49206349206349204,0.6349206349206349,0.6031746031746031,0.03555555555555545,1.0626398210290826,124.30560214980868,332.3320806264574,3,temporal_v3,4,4
