corridor,horizon_days,test_year,train_rows,validation_rows,test_rows,threshold,validation_auc,test_auc,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,future_regret_bps_mean,moment_advantage_bps_mean,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high
RUB_KGS,1,2023,1315,246,247,0.5750606033913176,0.7126454984559347,0.6121883656509696,49,0.9689265536723164,0.8367346938775511,0.7897278911564626,0.7142857142857143,0.8571428571428571,1.0595227840468602,24.832901494153056,-0.15115859914489752,-7.644137374905269,7.341820176615474
RUB_KGS,1,2024,1562,247,248,0.8545581978320991,0.619743137748678,0.6555045871559633,49,0.9689265536723164,0.9387755102040817,0.857891156462585,0.7959183673469388,0.9183673469387755,1.094282769011181,9.161476124259183,4.660790286563265,-4.34318543148284,13.664766004609369
RUB_KGS,1,2025,1810,248,247,0.9182050067957731,0.674006116207951,0.6267021276595744,47,0.9267605633802817,1.0,0.7329787234042553,0.6382978723404256,0.8297872340425532,1.3642960812772134,0.23529219832978723,-0.6844648657489362,-7.599424912336217,6.2304951808383455
RUB_KGS,1,2026,2058,246,161,0.9062679457210376,0.646637442531808,0.631908831908832,31,0.9393939393939394,1.0,0.8043010752688172,0.7096774193548387,0.9354838709677419,1.2433155080213902,1.7161358671806453,-1.8594424965064518,-11.948818310712651,8.229933317699748
RUB_KGS,3,2022,1064,245,247,0.9197260264850636,0.6334090909090909,0.6642335766423357,0,0.0,,,,,,,,,
RUB_KGS,3,2023,1312,244,247,0.7696206331377085,0.673338779956427,0.5748910200523104,27,0.5338983050847458,0.8888888888888888,0.7409876543209877,0.6296296296296297,0.8518518518518519,1.1996001332889037,12.987467352266666,26.474584923855556,9.97063967004809,42.97853017766302
RUB_KGS,3,2024,1559,245,248,0.8035553211530908,0.5799180327868853,0.6254578754578755,28,0.5536723163841808,0.8571428571428571,0.6597619047619048,0.5357142857142857,0.7857142857142857,1.2991699747383616,15.2502531431,15.814390569028575,1.1750278754584738,30.453753262598674
RUB_KGS,3,2025,1807,247,247,0.762487437628315,0.6315084547128746,0.698478168112644,48,0.9464788732394366,0.75,0.5510416666666667,0.4583333333333333,0.6458333333333334,1.3610586011342156,41.39269514693749,12.364939868539585,-3.1694202333613397,27.89929997044051
RUB_KGS,3,2026,2056,245,160,0.7660832828953337,0.70980985306828,0.6394805194805194,32,0.9824561403508772,0.8125,0.5891666666666666,0.46875,0.6875,1.3790664780763793,25.94374232799375,-8.123583586590625,-25.30374791704194,9.056580743860687
RUB_KGS,5,2022,1063,244,247,0.7657289696648125,0.5220001364349547,0.6036851142517501,1,0.01977401129943503,0.0,0.5066666666666667,0.0,1.0,0.0,723.3334873193,141.4217861922,141.4217861922,141.4217861922
RUB_KGS,5,2023,1310,242,247,0.5176639325341013,0.5921487603305785,0.49985218033998524,24,0.4745762711864407,0.6666666666666666,0.705,0.5833333333333334,0.8333333333333334,0.9456264775413712,71.11938551335834,10.018685767233334,-15.476859203418359,35.51423073788503
RUB_KGS,5,2024,1556,243,248,0.5824175949971064,0.5252392713800556,0.5482244318181818,27,0.5338983050847458,0.7777777777777778,0.5923456790123457,0.48148148148148145,0.7037037037037037,1.3130471029595665,53.101048407870366,33.85325722440741,1.3115354798236112,66.39497896899121
RUB_KGS,5,2025,1804,245,247,0.5700484405673145,0.5830920671685003,0.6501312335958005,45,0.8873239436619718,0.5111111111111111,0.4987407407407407,0.41055555555555556,0.6,1.024803208079608,100.55195944988444,9.969906100164444,-9.337445281409039,29.277257481737927
RUB_KGS,5,2026,2053,244,159,0.643039289154239,0.6583333333333333,0.6344605475040258,25,0.7709251101321586,0.76,0.4596,0.32,0.6,1.6536118363794603,51.124991915472,-6.356452072263998,-29.89132061615485,17.178416471626853
RUB_KGS,10,2022,1054,240,247,0.6247236060736665,0.5280898876404494,0.6042043399638336,0,0.0,,,,,,,,,
RUB_KGS,10,2023,1302,239,247,0.3752331615320737,0.5517886178861788,0.4777777777777778,20,0.3954802259887006,0.4,0.6503333333333333,0.5,0.75,0.6150691952844696,132.72320330272998,54.03807284836499,9.255704486283108,98.82044121044687
RUB_KGS,10,2024,1549,240,248,0.10662703551190235,0.4561391157420445,0.5135530162104703,54,1.0677966101694916,0.5185185185185185,0.545679012345679,0.48148148148148145,0.5925925925925926,0.9502262443438915,115.60623524482962,2.4198838418444466,-24.388291156041102,29.228058839729993
RUB_KGS,10,2025,1797,242,247,0.4500018572102868,0.5337931995540691,0.579382183908046,31,0.6112676056338028,0.22580645161290322,0.33526881720430113,0.22580645161290322,0.45161290322580644,0.6735086593970493,201.12537099193227,-17.07230496238064,-44.38469859049791,10.240088665736629
RUB_KGS,10,2026,2046,240,155,0.5163976769722469,0.5928724053724054,0.5490294511378849,16,0.5067873303167421,0.5625,0.32166666666666666,0.1875,0.5,1.7487046632124352,87.1449201610125,19.42247697018125,-16.818307927951054,55.663261868313555
RUB_KGS,20,2022,1041,234,247,0.525390198647644,0.5080459770114942,0.674978204010462,0,0.0,,,,,,,,,
RUB_KGS,20,2023,1289,232,247,0.1596246519537815,0.6415381493506493,0.5079438025210085,24,0.4745762711864407,0.5,0.6266666666666667,0.5,0.75,0.7978723404255319,140.62568159983752,70.69941684287916,17.13196141298041,124.2668722727779
RUB_KGS,20,2024,1535,232,248,0.28514196826872923,0.5716833890746934,0.49640287769784175,29,0.5734463276836158,0.4482758620689655,0.3632183908045977,0.27586206896551724,0.4827586206896552,1.2341772151898733,146.99413484812757,48.00096951583793,13.300782758414869,82.70115627326099
RUB_KGS,20,2025,1782,234,247,0.32572295176336374,0.4894795127353267,0.5711323476379373,37,0.7295774647887324,0.1891891891891892,0.2556756756756757,0.17500000000000002,0.32432432432432434,0.7399577167019028,306.0539602392325,5.808947333367566,-35.342287870663355,46.96018253739848
RUB_KGS,20,2026,2031,233,148,0.41916477072009545,0.5417663476874003,0.5682663690476191,12,0.39622641509433965,0.5833333333333334,0.31166666666666665,0.16666666666666666,0.4166666666666667,1.8716577540106953,168.55187056775,79.05835078155,7.0100126994754675,151.10668886362453
RUB_AMD,1,2022,1066,246,247,0.9412339363926302,0.6963592233009709,0.6208126036484245,5,0.09887005649717515,1.0,0.7893333333333333,0.4,1.0,1.2668918918918919,0.0,34.4015113453,-15.722221048151702,84.5252437387517
RUB_AMD,1,2023,1313,246,247,0.7467970127372924,0.6140248478278996,0.5657051282051282,44,0.8700564971751413,0.8409090909090909,0.7781060606060606,0.6818181818181818,0.8636363636363636,1.0807126862038752,24.74379255233182,8.250139541847727,-1.9560022757171822,18.456281359412635
RUB_AMD,1,2024,1560,247,248,0.8754030601805632,0.5892504930966469,0.6270254199494574,48,0.9491525423728814,1.0,0.8525694444444445,0.7916666666666666,0.9166666666666666,1.1729249816730472,0.9931369464916667,-2.7851099992187502,-10.834827776315118,5.264607777877616
RUB_AMD,1,2025,1808,248,247,0.8855881264795363,0.6421881968187899,0.6641929499072357,48,0.9464788732394366,1.0,0.7255555555555555,0.6140625,0.8125,1.3782542113323124,0.9095509879083332,3.7134437485125,-3.5887042547399437,11.015591751764944
RUB_AMD,1,2026,2056,246,161,0.8813048042083397,0.678338340412307,0.5772079772079772,32,0.9696969696969697,0.96875,0.8111458333333333,0.6875,0.9375,1.194298189289842,3.59371554000625,4.063519766425,-5.559634602135934,13.686674134985935
RUB_AMD,3,2022,1063,244,247,0.8922326811334175,0.6630639097744361,0.5994915027432088,0,0.0,,,,,,,,,
RUB_AMD,3,2023,1310,244,247,0.5749250144855624,0.5973214285714286,0.5577599196383727,33,0.652542372881356,0.7878787878787878,0.7522222222222223,0.6666666666666666,0.8484848484848485,1.0474016382435878,35.4690392062303,25.954434403748483,5.712441432204638,46.19642737529233
RUB_AMD,3,2024,1557,245,248,0.7681717333119857,0.5934188034188034,0.5793444328824141,39,0.7711864406779662,0.9230769230769231,0.6936752136752138,0.5897435897435898,0.7948717948717948,1.3307047806801378,7.047280456925641,8.868545108651283,-5.015462614282059,22.752552831584623
RUB_AMD,3,2025,1805,247,247,0.77491177353327,0.594768962510898,0.7323399558498896,42,0.828169014084507,0.8095238095238095,0.528888888888889,0.40476190476190477,0.6553571428571423,1.5306122448979589,27.64567760037619,6.751596243323811,-6.716039469450149,20.219231956097772
