policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
slow,RUB_KGS,20,2025,0.32572295176336374,32,0.6309859154929577,0.1875,0.234375,0.8,2.3125,-3.6983037726719807,-4.269052992630362
fast,RUB_KGS,20,2026,0.41916477072009545,12,0.39622641509433965,0.5833333333333334,0.30583333333333335,1.9073569482288828,,,
slow,RUB_KGS,20,2026,0.41916477072009545,6,0.19811320754716982,0.3333333333333333,0.19055555555555556,1.7492711370262388,2.0,-7.93021478603939,-3.012099281028968
fast,RUB_AMD,1,2022,0.9412339363926302,5,0.09887005649717515,1.0,0.7813333333333332,1.279863481228669,,,
slow,RUB_AMD,1,2022,0.9412339363926302,0,0.0,,,,,,
fast,RUB_AMD,1,2023,0.7467970127372924,44,0.8700564971751413,0.8409090909090909,0.7806818181818183,1.0771470160116448,,,
slow,RUB_AMD,1,2023,0.7467970127372924,29,0.5734463276836158,0.9310344827586207,0.8418390804597701,1.10595303113053,1.3448275862068966,-1.9036627611136492,-0.14506980275386105
fast,RUB_AMD,1,2024,0.8754030601805632,48,0.9491525423728814,1.0,0.8468055555555555,1.180908643595211,,,
slow,RUB_AMD,1,2024,0.8754030601805632,11,0.21751412429378533,0.8181818181818182,0.7936363636363637,1.0309278350515463,2.272727272727273,-11.39945275057755,-9.94629003381764
fast,RUB_AMD,1,2025,0.8855881264795363,48,0.9464788732394366,1.0,0.7240277777777777,1.3811624784193364,,,
slow,RUB_AMD,1,2025,0.8855881264795363,14,0.27605633802816903,1.0,0.5547619047619048,1.8025751072961373,1.1428571428571428,19.706807175534156,12.635305793079477
fast,RUB_AMD,1,2026,0.8813048042083397,32,0.9696969696969697,0.96875,0.8092708333333334,1.1970652593641395,,,
slow,RUB_AMD,1,2026,0.8813048042083397,13,0.3939393939393939,1.0,0.7994871794871795,1.2508017960230917,1.1538461538461537,35.819721185255034,17.705817836644044
fast,RUB_AMD,3,2022,0.8922326811334175,0,0.0,,,,,,
slow,RUB_AMD,3,2022,0.8922326811334175,0,0.0,,,,,,
fast,RUB_AMD,3,2023,0.5749250144855624,33,0.652542372881356,0.7878787878787878,0.7516161616161616,1.048246203467276,,,
slow,RUB_AMD,3,2023,0.5749250144855624,24,0.4745762711864407,0.9166666666666666,0.7570833333333333,1.2107870115575123,1.0,-25.215736956076583,-14.021131737049775
fast,RUB_AMD,3,2024,0.7681717333119857,39,0.7711864406779662,0.9230769230769231,0.6966666666666667,1.3249907986750094,,,
slow,RUB_AMD,3,2024,0.7681717333119857,14,0.2768361581920904,0.6428571428571429,0.7683333333333333,0.8366904245429192,1.0,47.32244397927441,11.379112904139621
fast,RUB_AMD,3,2025,0.77491177353327,42,0.828169014084507,0.8095238095238095,0.5307936507936508,1.5251196172248804,,,
slow,RUB_AMD,3,2025,0.77491177353327,19,0.37464788732394366,0.9473684210526315,0.3850877192982456,2.4601366742596813,1.0,15.063524576675503,16.69401304994711
fast,RUB_AMD,3,2026,0.8781416054595204,4,0.12280701754385966,0.75,0.5575,1.345291479820628,,,
slow,RUB_AMD,3,2026,0.8781416054595204,0,0.0,,,,,,
fast,RUB_AMD,5,2022,0.7521927332341143,1,0.01977401129943503,0.0,0.45666666666666667,0.0,,,
slow,RUB_AMD,5,2022,0.7521927332341143,1,0.01977401129943503,1.0,0.49666666666666665,2.0134228187919465,1.0,-158.79667271249122,-158.79667271249122
fast,RUB_AMD,5,2023,0.00038269297529766664,51,1.0084745762711864,0.5882352941176471,0.6322222222222222,0.9304248940349427,,,
slow,RUB_AMD,5,2023,0.00038269297529766664,51,1.0084745762711864,0.6274509803921569,0.6319607843137255,0.9928637914986038,2.7254901960784315,18.208628521600243,15.392611546456436
fast,RUB_AMD,5,2024,0.5053881377306881,46,0.9096045197740114,0.6739130434782609,0.6581159420289854,1.024003523452984,,,
slow,RUB_AMD,5,2024,0.5053881377306881,41,0.8107344632768362,0.7073170731707317,0.6380487804878048,1.1085626911314985,1.7804878048780488,-5.516551404360699,3.2367084776541155
fast,RUB_AMD,5,2025,0.5539417889823369,45,0.8873239436619718,0.4888888888888889,0.46044444444444443,1.0617760617760619,,,
slow,RUB_AMD,5,2025,0.5539417889823369,35,0.6901408450704225,0.5428571428571428,0.4715238095238095,1.1512825691779438,2.085714285714286,17.005707165448232,7.625445823138399
fast,RUB_AMD,5,2026,0.6881313599916519,16,0.49339207048458145,0.8125,0.47833333333333333,1.6986062717770034,,,
slow,RUB_AMD,5,2026,0.6881313599916519,6,0.18502202643171806,0.8333333333333334,0.4011111111111111,2.0775623268698062,1.0,16.75746457463434,8.50516070335039
fast,RUB_AMD,10,2022,0.5475089085786758,2,0.03954802259887006,0.0,0.66,0.0,,,
slow,RUB_AMD,10,2022,0.5475089085786758,1,0.01977401129943503,0.0,0.49333333333333335,0.0,1.0,-110.20628236234731,-110.20628236234731
fast,RUB_AMD,10,2023,0.00010192577346131714,51,1.0084745762711864,0.5098039215686274,0.5226143790849672,0.975487743871936,,,
slow,RUB_AMD,10,2023,0.00010192577346131714,51,1.0084745762711864,0.5294117647058824,0.519673202614379,1.0187397811596028,2.7254901960784315,18.208628521600243,15.392611546456436
fast,RUB_AMD,10,2024,0.35150464385782143,49,0.9689265536723164,0.5102040816326531,0.5310204081632652,0.9607993850883937,,,
slow,RUB_AMD,10,2024,0.35150464385782143,46,0.9096045197740114,0.5217391304347826,0.5412318840579711,0.9639844691391082,2.0434782608695654,-4.298203361666269,-4.1451194953046056
fast,RUB_AMD,10,2025,0.46517233382292716,29,0.571830985915493,0.3103448275862069,0.2932183908045977,1.058408467267738,,,
slow,RUB_AMD,10,2025,0.46517233382292716,19,0.37464788732394366,0.3157894736842105,0.20842105263157895,1.5151515151515151,2.263157894736842,-2.966806866170289,3.7222970491002094
fast,RUB_AMD,10,2026,0.5527486022998519,17,0.5384615384615384,0.5294117647058824,0.39274509803921565,1.3479780329505744,,,
