indicator,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift
level,RUB_UZS,5,2025,-0.05250760679777022,52,1.0253521126760563,0.40384615384615385,0.45730769230769225,0.8830950378469303
reversal,RUB_UZS,5,2025,-0.06309105053589383,53,1.0450704225352112,0.41509433962264153,0.45515723270440256,0.9119801022523144
seasonality,RUB_UZS,5,2025,0.5337931034482758,36,0.7098591549295774,0.3888888888888889,0.47712962962962974,0.8150591888220452
momentum,RUB_UZS,5,2026,0.004311583488368805,21,0.6475770925110131,0.38095238095238093,0.4814285714285714,0.7912957467853611
level,RUB_UZS,5,2026,-0.04114811645502771,23,0.7092511013215859,0.43478260869565216,0.49753623188405793,0.873871249635887
reversal,RUB_UZS,5,2026,-0.034662471723578454,24,0.7400881057268722,0.5416666666666666,0.5020833333333333,1.0788381742738589
seasonality,RUB_UZS,5,2026,0.5151515151515151,25,0.7709251101321586,0.6,0.5009333333333333,1.1977641735427202
momentum,RUB_UZS,10,2022,0.0043083477812680985,38,0.7514124293785311,0.2631578947368421,0.222719298245614,1.1815675462780624
level,RUB_UZS,10,2022,-0.009897285700967151,19,0.37570621468926557,0.15789473684210525,0.18578947368421053,0.8498583569405098
reversal,RUB_UZS,10,2022,-0.0005529713112427897,16,0.3163841807909605,0.375,0.21020833333333333,1.78394449950446
seasonality,RUB_UZS,10,2022,0.44650776053215124,15,0.2966101694915254,0.26666666666666666,0.21599999999999994,1.2345679012345683
momentum,RUB_UZS,10,2023,-0.012954632739614835,49,0.9689265536723164,0.42857142857142855,0.476734693877551,0.898972602739726
level,RUB_UZS,10,2023,-0.09942419075996456,51,1.0084745762711864,0.45098039215686275,0.4839869281045752,0.9318028359216745
reversal,RUB_UZS,10,2023,-0.08181980661786,50,0.9887005649717514,0.44,0.4726666666666666,0.9308885754583922
seasonality,RUB_UZS,10,2023,0.3333333333333333,39,0.7711864406779662,0.4358974358974359,0.5285470085470084,0.8247089262613198
momentum,RUB_UZS,10,2024,-0.009218715885199097,51,1.0084745762711864,0.47058823529411764,0.47816993464052293,0.9841443411700381
level,RUB_UZS,10,2024,-0.021666722645436013,31,0.612994350282486,0.45161290322580644,0.3733333333333334,1.2096774193548385
reversal,RUB_UZS,10,2024,-0.020382243527446296,33,0.652542372881356,0.48484848484848486,0.3761616161616162,1.2889366272824918
seasonality,RUB_UZS,10,2024,0.256,54,1.0677966101694916,0.46296296296296297,0.4792592592592592,0.9659969088098919
momentum,RUB_UZS,10,2025,0.01641816804248599,23,0.4535211267605634,0.30434782608695654,0.21898550724637678,1.3898080741230976
level,RUB_UZS,10,2025,-0.036959344446720735,48,0.9464788732394366,0.25,0.278125,0.898876404494382
reversal,RUB_UZS,10,2025,-0.007683141131771709,20,0.39436619718309857,0.1,0.19349999999999998,0.516795865633075
seasonality,RUB_UZS,10,2025,0.32585623678646936,44,0.8676056338028169,0.29545454545454547,0.2890151515151515,1.0222804718217564
momentum,RUB_UZS,10,2026,0.003175484362165872,21,0.665158371040724,0.2857142857142857,0.29396825396825393,0.9719222462203024
level,RUB_UZS,10,2026,-0.04361121209074241,24,0.7601809954751131,0.2916666666666667,0.31888888888888883,0.9146341463414637
reversal,RUB_UZS,10,2026,-0.049033332175681205,25,0.7918552036199095,0.32,0.32466666666666666,0.9856262833675565
seasonality,RUB_UZS,10,2026,0.372972972972973,24,0.7601809954751131,0.4166666666666667,0.31680555555555556,1.31521262604121
momentum,RUB_UZS,20,2022,0.004309859514511147,38,0.7514124293785311,0.18421052631578946,0.14710526315789474,1.2522361359570662
level,RUB_UZS,20,2022,-0.002164397038896426,16,0.3163841807909605,0.1875,0.1525,1.2295081967213115
reversal,RUB_UZS,20,2022,-0.00016315605743927254,15,0.2966101694915254,0.26666666666666666,0.16155555555555554,1.6506189821182946
seasonality,RUB_UZS,20,2022,0.2891566265060241,19,0.37570621468926557,0.10526315789473684,0.13754385964912277,0.7653061224489798
momentum,RUB_UZS,20,2023,0.006487789043200047,27,0.5338983050847458,0.25925925925925924,0.5265432098765431,0.49237983587338807
level,RUB_UZS,20,2023,-0.004827742317601469,11,0.21751412429378533,0.18181818181818182,0.6484848484848486,0.2803738317757009
reversal,RUB_UZS,20,2023,-0.006024507974224516,11,0.21751412429378533,0.45454545454545453,0.6387878787878788,0.7115749525616698
seasonality,RUB_UZS,20,2023,0.14166666666666666,47,0.9293785310734464,0.3404255319148936,0.40992907801418443,0.8304498269896193
momentum,RUB_UZS,20,2024,-0.004291248797395272,46,0.9096045197740114,0.391304347826087,0.3640579710144927,1.0748407643312103
level,RUB_UZS,20,2024,-0.02077438091663158,31,0.612994350282486,0.3870967741935484,0.2798924731182796,1.3830195927775641
reversal,RUB_UZS,20,2024,-0.02672819087763605,34,0.672316384180791,0.4117647058823529,0.2908823529411765,1.4155712841253791
seasonality,RUB_UZS,20,2024,0.24982475720551411,27,0.5338983050847458,0.3333333333333333,0.2834567901234568,1.1759581881533099
momentum,RUB_UZS,20,2025,0.01653877372667698,22,0.43380281690140843,0.22727272727272727,0.09727272727272726,2.336448598130841
level,RUB_UZS,20,2025,-0.05368590529863624,52,1.0253521126760563,0.21153846153846154,0.19756410256410256,1.0707332900713822
reversal,RUB_UZS,20,2025,-0.051815994096320435,52,1.0253521126760563,0.21153846153846154,0.19596153846153844,1.0794896957801767
seasonality,RUB_UZS,20,2025,0.19540229885057472,53,1.0450704225352112,0.20754716981132076,0.19352201257861631,1.072473188170296
momentum,RUB_UZS,20,2026,0.013542778812086877,11,0.36320754716981135,0.18181818181818182,0.416969696969697,0.436046511627907
level,RUB_UZS,20,2026,-0.05515486574099877,26,0.8584905660377359,0.3076923076923077,0.32820512820512815,0.9375000000000002
reversal,RUB_UZS,20,2026,-0.04907961948151672,25,0.8254716981132075,0.32,0.31453333333333333,1.0173802458668928
seasonality,RUB_UZS,20,2026,0.24581005586592178,23,0.7594339622641509,0.43478260869565216,0.30289855072463767,1.4354066985645932
momentum,RUB_KGS,1,2022,0.004363086129777616,38,0.7514124293785311,0.5526315789473685,0.5892982456140351,0.9377791009228937
level,RUB_KGS,1,2022,-0.0009646268145130921,15,0.2966101694915254,0.6,0.5760000000000001,1.0416666666666665
reversal,RUB_KGS,1,2022,-0.005190976273587683,17,0.3361581920903955,1.0,0.5623529411764705,1.7782426778242681
seasonality,RUB_KGS,1,2022,0.8039295392953931,35,0.692090395480226,0.6857142857142857,0.578,1.1863568956994563
momentum,RUB_KGS,1,2023,-0.1473889770646903,51,1.0084745762711864,0.7058823529411765,0.7947058823529412,0.8882309400444116
level,RUB_KGS,1,2023,-0.1523713397265256,51,1.0084745762711864,0.7058823529411765,0.7963398692810457,0.886408404464872
reversal,RUB_KGS,1,2023,-0.006618730031260505,10,0.1977401129943503,0.6,0.8143333333333334,0.7367990176013098
seasonality,RUB_KGS,1,2023,0.8120300751879699,36,0.711864406779661,0.6388888888888888,0.8134259259259258,0.7854297097324987
momentum,RUB_KGS,1,2024,-0.009578356463394088,51,1.0084745762711864,0.8431372549019608,0.8545098039215687,0.986691142726021
level,RUB_KGS,1,2024,-0.06373323454494827,51,1.0084745762711864,0.8431372549019608,0.8581045751633987,0.9825576967019576
reversal,RUB_KGS,1,2024,-0.03779468607395153,44,0.8700564971751413,0.8863636363636364,0.8745454545454546,1.0135135135135134
seasonality,RUB_KGS,1,2024,0.7222222222222222,54,1.0677966101694916,0.8518518518518519,0.8702469135802468,0.9788622499645342
momentum,RUB_KGS,1,2025,-0.0009495566631708911,48,0.9464788732394366,0.7083333333333334,0.7390277777777777,0.9584664536741215
level,RUB_KGS,1,2025,-0.039705214621089224,52,1.0253521126760563,0.6923076923076923,0.7526923076923077,0.9197751660705161
reversal,RUB_KGS,1,2025,-0.010417185750310072,31,0.6112676056338028,0.7096774193548387,0.6975268817204301,1.0174194542932018
seasonality,RUB_KGS,1,2025,0.8577961672473868,15,0.29577464788732394,0.8,0.5804444444444444,1.3782542113323124
momentum,RUB_KGS,1,2026,-0.008063671017068286,28,0.8484848484848485,0.7142857142857143,0.7866666666666666,0.9079903147699758
level,RUB_KGS,1,2026,-0.0024030490301636814,10,0.30303030303030304,0.5,0.8770000000000001,0.5701254275940706
reversal,RUB_KGS,1,2026,-0.0023511921840468457,9,0.2727272727272727,0.8888888888888888,0.8885185185185185,1.0004168403501459
seasonality,RUB_KGS,1,2026,0.868599840389785,5,0.15151515151515152,1.0,0.8486666666666666,1.178318931657502
