indicator,corridor,horizon_days,folds,signals,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3
seasonality,RUB_KZT,3,5,173,0.5086705202312138,0.5343545279383429,0.9519345184437313,0.9672796751850968,0.7729966503478485,0
momentum,RUB_TJS,10,5,210,0.4142857142857143,0.4403968253968254,0.9407100378446568,0.9654994850669413,0.7874015748031495,0
seasonality,RUB_UZS,1,5,164,0.7317073170731707,0.748211382113821,0.9779419754427906,0.9651945013161745,0.8483290488431875,0
seasonality,RUB_UZS,5,5,202,0.504950495049505,0.532821782178218,0.9476911641735574,0.9651202167287504,0.8150591888220452,0
reversal,RUB_KGS,5,5,105,0.5428571428571428,0.5259365079365078,1.0321723908975675,0.9609784507862552,0.8655510675129833,1
level,RUB_TJS,10,5,171,0.42105263157894735,0.4322417153996101,0.9741138270046,0.9603072983354674,0.29296875000000006,0
momentum,RUB_KZT,20,5,210,0.2571428571428571,0.2634444444444444,0.9760800144604447,0.96,0.8571428571428571,1
seasonality,RUB_KZT,1,5,186,0.6935483870967742,0.7165412186379928,0.9679113623289899,0.9554140127388534,0.8482563619227146,0
momentum,RUB_UZS,5,5,179,0.46368715083798884,0.5100372439478584,0.9091241009164264,0.952683391552874,0.7912957467853611,0
momentum,RUB_UZS,1,5,206,0.6990291262135923,0.7364724919093851,0.9491585006811091,0.9505409582689337,0.8670520231213874,0
level,RUB_KZT,20,5,129,0.27906976744186046,0.2852454780361757,0.9783494881782769,0.9503068699267471,0.3851091142490372,2
momentum,RUB_KGS,3,5,209,0.5550239234449761,0.5921850079744815,0.9372475087530302,0.9495340249692281,0.8727548697192008,0
momentum,RUB_TJS,5,5,223,0.5201793721973094,0.5534379671150971,0.9399054692775153,0.9474067776023322,0.8971846962978242,0
level,RUB_KGS,3,5,159,0.5974842767295597,0.6244444444444444,0.9568253541932452,0.9426339886883921,0.6644518272425249,1
seasonality,RUB_TJS,3,5,192,0.578125,0.6127083333333333,0.9435566133968039,0.9398659820729265,0.678391959798995,1
