policy,corridor,horizon_days,folds,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_TJS,1,5,171,0.7263349514563107,0.9649122807017544,0.8104093567251461,1.190648001154568,1.1639185257032008,1.1251900658895087,0,,,
slow,RUB_TJS,1,4,42,0.22720247295208654,0.8809523809523809,0.7994444444444445,1.1019557232204904,1.2048240773573555,1.0479041916167666,2,1.619047619047619,-3.588940770703512,-2.1019630921971975
fast,RUB_TJS,3,5,139,0.5914893617021276,0.8633093525179856,0.6337410071942446,1.362243160404132,1.4238070805541299,1.1774967291757523,4,,,
slow,RUB_TJS,3,4,57,0.3090627420604183,0.8070175438596491,0.5923391812865497,1.3624247210978377,1.41634029270591,1.095617529880478,2,1.0,10.363884769679313,3.804305852854291
fast,RUB_TJS,5,5,111,0.4726277372262774,0.6666666666666666,0.5672072072072072,1.1753494282083863,1.18827567995775,0.7853403141361256,2,,,
slow,RUB_TJS,5,5,71,0.30231143552311435,0.647887323943662,0.5534741784037559,1.1705827466282128,1.5742128935532234,0.7619738751814223,3,1.3098591549295775,1.3059963411170175,0.9576889891908238
fast,RUB_TJS,10,5,150,0.6410256410256411,0.54,0.45051111111111114,1.198638583337444,1.2090274046211713,1.0655473038424281,1,,,
slow,RUB_TJS,10,5,105,0.44871794871794873,0.5523809523809524,0.4474920634920635,1.2343927355278095,1.1860832894043225,0.5876591576885406,2,1.6095238095238096,20.267499675107842,15.925845414915974
fast,RUB_TJS,20,5,129,0.5543278084714549,0.4263565891472868,0.3718604651162792,1.1465499270377315,0.9311262193319537,0.0,2,,,
slow,RUB_TJS,20,4,103,0.5654901960784314,0.4563106796116505,0.3841747572815534,1.18776851149861,1.4359884160631489,0.44910179640718567,2,2.320388349514563,20.249249384799157,15.270177899558773
fast,RUB_UZS,1,5,166,0.7050970873786409,0.9216867469879518,0.748574297188755,1.2312562032243355,1.2641083521444694,1.0325329836925348,2,,,
slow,RUB_UZS,1,5,55,0.23361650485436894,0.9818181818181818,0.7361212121212121,1.3337724353696692,1.4563106796116505,1.0,3,1.0727272727272728,-1.8881622060254513,-10.533232832399811
fast,RUB_UZS,3,5,144,0.6127659574468085,0.7361111111111112,0.5671064814814815,1.2980121637617863,1.4687882496940026,1.125703564727955,3,,,
slow,RUB_UZS,3,4,91,0.4495412844036697,0.9010989010989011,0.6104395604395604,1.4761476147614763,1.3789547072227237,0.7481296758104738,2,1.0,-3.302963779301575,0.032284291447811725
fast,RUB_UZS,5,5,141,0.6003649635036497,0.5602836879432624,0.4976359338061466,1.1258907363420427,1.2956810631229239,0.887105290949414,2,,,
slow,RUB_UZS,5,5,113,0.4811435523114355,0.5486725663716814,0.5029498525073746,1.090909090909091,1.365409622886866,0.8916250928776139,3,1.831858407079646,16.192196203547454,17.795676290576928
fast,RUB_UZS,10,5,156,0.6666666666666666,0.41025641025641024,0.4109188034188034,0.998388019343768,1.0350776308223117,0.0,0,,,
slow,RUB_UZS,10,4,146,0.7965705378020266,0.4383561643835616,0.39529680365296804,1.1089291902506642,1.2182855167646043,0.8944301395853096,1,2.1506849315068495,9.201756454100224,11.699189018370452
fast,RUB_UZS,20,5,199,0.8551258440761202,0.3065326633165829,0.3070854271356784,0.9981999672721322,0.9075630252100839,0.8642765685019206,1,,,
slow,RUB_UZS,20,5,173,0.7434008594229589,0.32947976878612717,0.2923892100192678,1.126853377265239,1.4035087719298245,0.9143407122232916,3,2.352601156069364,9.692569072637204,13.647601524405239
