date,corridor,rub_per_unit,horizon_days,test_year,score,threshold,message_hit,future_regret_bps,moment_advantage_bps,indicator,direction,signal_strength,signal_speed,recommended_scenario,reason_code
2023-09-12,RUB_KZT,0.206971,10,2023,0.14545357507161602,0.0009208862158076372,0,190.6064134589,75.9149327148,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-19,RUB_KZT,0.206825,10,2023,0.313878082324842,0.0009208862158076372,0,285.1202707603,-64.7334308139,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-26,RUB_KZT,0.202305,10,2023,0.44913205442261994,0.0009208862158076372,0,68.0655445985,120.5076198321,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-03,RUB_KZT,0.207555,10,2023,0.0647010451441965,0.0009208862158076372,0,198.4052419841,-79.4883404921,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-10,RUB_KZT,0.211859,10,2023,0.14548834999488222,0.0009208862158076372,0,397.5285449285,-251.9080732896,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-17,RUB_KZT,0.203963,10,2023,0.5678465345568264,0.0009208862158076372,0,422.8217863044,-5.8331226993,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-24,RUB_KZT,0.197696,10,2023,0.7958694426903754,0.0009208862158076372,0,135.5110877307,96.8910378354,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-31,RUB_KZT,0.198264,10,2023,0.20055283588459605,0.0009208862158076372,0,163.7715369406,-25.3309395756,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-08,RUB_KZT,0.199834,10,2023,0.10611041840507524,0.0009208862158076372,0,355.9454347108,-152.9923707043,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-14,RUB_KZT,0.196876,10,2023,0.3648777292600031,0.0009208862158076372,0,351.0331376095,-73.8507736313,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-21,RUB_KZT,0.191222,10,2023,0.5984321255961257,0.0009208862158076372,0,65.7351141605,115.6901273869,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-28,RUB_KZT,0.191549,10,2023,0.46137264533487876,0.0009208862158076372,1,0.0,141.8533574191,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-05,RUB_KZT,0.197051,10,2023,0.15368130161289706,0.0009208862158076372,1,14.4125124968,-38.905550027,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-12,RUB_KZT,0.198826,10,2023,0.2900391349345364,0.0009208862158076372,0,103.5578847837,-44.4879816534,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-19,RUB_KZT,0.197657,10,2023,0.5558503766089963,0.0009208862158076372,1,36.4267392503,55.4559428684,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-26,RUB_KZT,0.200067,10,2023,0.4283344235070565,0.0009208862158076372,0,117.9104999825,-73.2873953448,logistic_message_hit,RUB_to_recipient_currency,strong,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-11,RUB_KZT,0.197255,10,2024,0.4603140912389122,0.4366919244128342,0,156.0416719475,-35.9854459186,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-16,RUB_KZT,0.194264,10,2024,0.4650191947575654,0.4366919244128342,1,4.4784417082,106.5219858624,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-24,RUB_KZT,0.195983,10,2024,0.46333034232722253,0.4366919244128342,1,0.0,79.539299737,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-03,RUB_KZT,0.201634,10,2024,0.5032186159140887,0.4366919244128342,0,75.3345169961,-50.462206276,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-08,RUB_KZT,0.200513,10,2024,0.45500411752297554,0.4366919244128342,1,0.0,81.6336625501,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-13,RUB_KZT,0.203703,10,2024,0.4376920784598404,0.4366919244128342,1,0.0,-11.2170223521,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-21,RUB_KZT,0.205156,10,2024,0.44259715514147807,0.4366919244128342,0,188.6369396947,-24.0930440555,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-28,RUB_KZT,0.204557,10,2024,0.45930425918398876,0.4366919244128342,0,197.2555326877,-23.7965287123,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-03-05,RUB_KZT,0.202544,10,2024,0.4547430979679017,0.4366919244128342,0,99.8301603602,37.6461208428,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
