metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
delta_p90_regret_bps,-62.752378496899944,-124.47060731619749,-11.759519174324987,29.285151518671643,,,0.995,5000,leave_2025_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.8019799196139819,0.7385613419679798,0.8622896366568311,0.03181612105029177,,,,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6831494383011102,0.6407313269934944,0.7256016213666245,0.021841020518727515,,,,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.11883048131287158,0.06640436450284576,0.17236215804775482,0.02706404180714022,1.0,,1.0,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.1743361472776124,1.0961887693385985,1.2570548653009987,0.04109911921596837,,0.0014,,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,36.365753310071106,23.07710865519571,52.56683470820872,7.685413771025222,,,,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,65.11731613796191,48.96714722661196,82.95311512008414,8.70520221285293,,,,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-28.751562827890805,-41.86185528487301,-17.21079589491517,6.276101652286951,,,1.0,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-32.939388538584474,-65.073654572158,0.6536089751530183,16.71954219323966,,,0.9734,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-75.84559524781399,-144.95256272955498,-23.019039362847558,31.013606749917464,,,0.9998,5000,leave_2026_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
